concept_uri,preferred_label,description
http://data.europa.eu/esco/skill/339f165c-0002-47d2-91a6-ca4722ec682f,Musikensembles betreuen,"Leiten von Musikgruppen, einzelnen Musikern oder vollständigen Orchestern bei Proben sowie bei Live- und Studio-Auftritten, um das Gleichgewicht der Töne und Harmonien, die Dynamik, den Rhythmus und das Tempo zu verbessern."
http://data.europa.eu/esco/skill/33a1b24a-3230-4e46-bffe-a3f45685f9fd,Physiologie des Gleichgewichts,"Merkmale und Funktionen des Gleichgewichtssystems, das für das Gleichgewicht des Körpers verantwortlich ist."
http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,persönliche Daten und Privatsphäre schützen,"Schutz persönlicher Daten und der Privatsphäre in digitalen Umgebungen. Verstehen der Nutzung und Verbreitung personenbezogener Daten sowie die Fähigkeit, sich selbst und andere vor Schäden zu schützen. Verständnis dafür, dass digitale Dienste „Datenschutzbestimmungen“ verwenden, um darüber zu informieren, wie personenbezogene Daten verwendet werden."
http://data.europa.eu/esco/skill/33a8fae7-d559-43e9-af8e-d48579865748,Luftwaffenpersonal ausbilden,"Ausbilden von Luftwaffenpersonal in Bezug auf Tätigkeiten, die ihren Aufgaben entsprechen, und in Bezug auf die Vorschriften und den Betrieb der Luftwaffe sowie Sicherstellen ihres Wohlergehens."
http://data.europa.eu/esco/skill/33b55d3a-81f5-45cb-af40-06cd54db78e1,elektronische Dateien erstellen,Laden elektronischer Dateien von Kunden auf den Prepress-Dateiserver sowie Prüfung auf Vollständigkeit und mögliche Probleme. Kommunikation etwaiger Probleme mit Kunden und Produktionsmitarbeitern.
http://data.europa.eu/esco/skill/33c01497-8264-4773-81dd-6096ad512f02,berufsspezifischer Verhaltenskodex für Angestellte im Gesundheitswesen,"Die moralischen Standards und Verfahren, ethischen Fragen und spezifischen Verpflichtungen für Berufe im Gesundheitswesen, wie Achtung der Menschenwürde, Selbstbestimmung, informierte Einwilligung und Schweigepflicht."
http://data.europa.eu/esco/skill/33c8742f-fc91-433b-8d3f-3238f7e3018f,Sicherheitsvorrichtungen installieren,"Installieren von Vorrichtungen, die Menschen vor Schäden schützen und die Gesundheit am Arbeitsplatz gewährleisten, wie Airbags und Fehlerschutzschalter."
http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,iterative Entwicklung,Beim iterativen Entwicklungsmodell handelt es sich um eine Methodik für das Design von Softwaresystemen und Anwendungen.
http://data.europa.eu/esco/skill/33dd30c8-848d-4c65-87ce-a319e694ae46,Verspiegelungsanlage beschicken,Beschicken der Verspiegelungsanlage mit Spiegelglas.
http://data.europa.eu/esco/skill/33e45139-5f77-45a6-b508-9d1cdca431a8,Flugzeugrumpf reparieren,Reparatur oberflächlicher Schäden am Rumpf des Flugzeugs durch die Verwendung von Fiberglas und Dichtstoffen.
http://data.europa.eu/esco/skill/33e5a0ea-6e6f-4b22-9865-71864de92985,über Dünger und Herbizide beraten,"Beratung über die Arten von Düngemitteln und Herbiziden, ihre Verwendung und den besten Zeitpunkt für ihre Anwendung.
    "
http://data.europa.eu/esco/skill/33e63e00-43c8-42af-b66b-c10847111e99,hydraulische Presse warten,Versorgen der hydraulischen Presse zum Extrahieren von Öl aus Saatgut.
http://data.europa.eu/esco/skill/33f39236-ab8c-4554-b80c-ca506cafde45,Auswirkungen von Programmen der sozialen Fürsorge bewerten,Sammeln von Daten für die Bewertung der Auswirkungen eines Programms auf eine Gemeinschaft.
http://data.europa.eu/esco/skill/34016949-da9c-4107-98e3-1080ae405e27,Schweißprüfung durchführen,Prüfen und Sicherstellen der Qualität verschweißter Metalle mit unterschiedlichen Prüftechniken.
http://data.europa.eu/esco/skill/34035545-4c38-42f2-8138-2fc5cefa4d1f,Bohrlochsicherheit überwachen,"Prüfen der Sicherheit Bohrlochs bei der Bohranlage oder an der Bohrstelle, Erkennen von Sicherheitsproblemen oder potenziellen Risiken."
http://data.europa.eu/esco/skill/34085657-5d64-4a68-abef-e5b7df3b3d46,geschriebenes Katalanisch verstehen,Lesen und Verstehen schriftlicher Texte in katalanischer Sprache.
http://data.europa.eu/esco/skill/340a75f4-76e1-4ef0-8f1e-1bb78ba561ef,Einhaltung von Vorschriften zu gefährlichen Abfällen überprüfen,"Überprüfen der Strategien einer Organisation oder einer Einrichtung zum Umgang mit gefährlichen Abfällen, um sicherzustellen, dass ihre Maßnahmen den einschlägigen Rechtsvorschriften entsprechen und dass Maßnahmen ergriffen werden, um den Schutz vor Exposition zu verbessern, sowie Sicherstellen von Gesundheit und Sicherheit."
http://data.europa.eu/esco/skill/3413584b-a4e9-4f8d-b836-c9bfee0ed80b,Daten aus Eisenbahnleitstellen verarbeiten,"Auslegen der Daten, die in Eisenbahnleitstellen erzeugt werden. Nutzen der gesammelten Informationen, um Fehler an der mechanischen Ausrüstung zu erkennen, Änderungen des Zeitplans einzuplanen und Verspätungen und Vorfälle zu erkennen, die auftreten können. Bereitstellen von Lösungen bei Vorfällen und Abmildern der Auswirkungen auf den Betrieb.
   "
http://data.europa.eu/esco/skill/34147067-562c-4e5f-8dec-40972ccf29b6,Beitrag von Pflanzen zum Raumklima und der Gesundheit,"Die Art und Weise, wie verschiedene Pflanzen das Raumklima beeinflussen und welche Pflanzen Allergien verursachen können."
http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26,Umweltrecht in Land- und Forstwirtschaft,"Kenntnis der Rechtsvorschriften, Politiken und Grundsätze, die für die Land- und Forstwirtschaft relevant sind. Kenntnis der Auswirkungen der örtlichen landwirtschaftlichen Verfahren und Praktiken auf die Umwelt. Mittel zur Anpassung der Produktion an neue Umweltbestimmungen und -politiken."
http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,Wirtschaftsrecht,"Bereich des Rechts, der die Handels- und Geschäftstätigkeiten von Unternehmen und Privatpersonen und ihre rechtliche Interaktion betrifft. Dies bezieht sich auf zahlreiche Rechtsdisziplinen, einschließlich Steuer- und Arbeitsrecht."
http://data.europa.eu/esco/skill/341cf309-746c-4437-ad14-e0a0ee13eacc,die Ankunft von bestellten Küchenvorräten überwachen,"Annahme der Lieferung von bestellten Küchenvorräten und Sicherstellen, dass alles vorhanden und in gutem Zustand ist."
http://data.europa.eu/esco/skill/342212c7-5650-4dbd-b7ad-18a6aee8e567,Reisevertragsdaten verarbeiten,"Verwaltung der Reisevertragsdaten, um sicherzustellen, dass die Touristen alle Dienstleistungen aus dem Reisepaket erhalten."
http://data.europa.eu/esco/skill/34250f4b-b39e-42bd-a2d7-783e90051b08,Unvollkommenheiten an Metall erkennen,"Feststellen und Ermitteln verschiedener Arten von Unvollkommenheiten an Metallwerkstücken oder fertigen Produkten. Erkennen der am besten geeigneten Methode zur Behebung des Problems, das durch Korrosion, Rost, Brüche, undichte Stellen und andere Verschleißzeichen verursacht werden kann."
http://data.europa.eu/esco/skill/3427db4f-e236-4308-a06c-65e6769609e8,Wettgelder auszahlen,Auszahlung der Gewinne und Einsammeln verlorener Einsätze gemäß den Regeln und Vorgehensweisen bei einem bestimmten Spiel.
http://data.europa.eu/esco/skill/342af3a1-4fdc-4ddc-898a-bb82a7f62efe,Fortschritte von Nutzern/Nutzerinnen des Gesundheitssystems in Bezug auf Behandlung aufzeichnen,"Aufzeichnen der Fortschritte von Nutzern des Gesundheitssystems in Bezug auf eine Behandlung durch Beobachten, Zuhören und Messen der Ergebnisse."
http://data.europa.eu/esco/skill/34330a42-eeb0-44c3-a41e-670e9b20c7c7,Luftverkehrsmanagement,"Fundierte Kenntnis der wichtigsten Tätigkeiten im Luftverkehrsmanagement, z. B. Flugverkehrskontrolle, Verkehrsflussregelung und Flugberatungsdienste."
http://data.europa.eu/esco/skill/34396520-b785-42dc-afe0-f74d7aa9f793,Entwicklung von Arzneimitteln,"Phasen der Herstellung von Arzneimitteln: präklinische Phase (Forschung und Tierversuche), klinische Phase (klinische Studien an Menschen) und die Teilphasen, die erforderlich sind, um ein Arzneimittel als Endprodukt zu erhalten."
http://data.europa.eu/esco/skill/343c4f94-e2b6-4dea-b4eb-e82e3c04fa22,umfangreiche Studien zu internationalen Weinsorten anwenden,"Studieren von internationalen Weinsorten und Beratung von Unternehmen und Menschen in der Branche. Analysieren der Weinsorten, die in verschiedenen Ländern verkauft werden."
http://data.europa.eu/esco/skill/343dd8e6-225f-460b-99e4-2e24ecbfd7ed,Sommeliertätigkeiten,Weinarten und -marken und ihre Abstimmung auf Speisen.
http://data.europa.eu/esco/skill/343de837-064c-4d69-8505-741f5a2296ed,verschiedene Röstverfahren anwenden,"Anwenden verschiedener Methoden zum Rösten von Kakaobohnen, z. B. Röstung im Ofen, Luftröstung, Trommelröstung, Kaffeeröster und Heißluftgebläse. Verwenden der verschiedenen Methoden entsprechend den Erzeugungsvorschriften, der Art der Kakaobohnen und dem gewünschten Schokoladenerzeugnis."
http://data.europa.eu/esco/skill/343fec26-5ed3-4bbf-ba95-bea6f2b371b0,Forstbestand vergrößern,Teilnahme an der Pflanzung oder Ausdünnung von Baumbeständen als Mitglied einer Mannschaft. Sammeln und Klassifizieren von Zapfen nach Art oder Zustand.
http://data.europa.eu/esco/skill/34406889-f522-47a7-b60d-8545b36d73bb,harmonische Architektur anstreben,"Gestaltung und Entwicklung von Bauwerken, die ein Gleichgewicht zwischen Natur und Gebäuden einhalten. Sicherstellen, dass die Integration von Gebäuden in ein Gebiet die Harmonie des Ortes erhält."
http://data.europa.eu/esco/skill/34415032-ad3d-417a-84de-06a80728e8ef,Umsetzung des Sicherheitsplans überprüfen,Überwachung der Ausführung der Flugsicherheitsanweisungen.
http://data.europa.eu/esco/skill/3443f825-fe5b-4f7a-80c9-968130ed0297,Klangabmischung in Live-Situationen überwachen,Überwachung des Mischens in einer Live-Audio-Situation unter eigener Verantwortung.
http://data.europa.eu/esco/skill/3446d034-aa08-4706-ba05-e9cb0d01b5b1,Neuroanatomie,Die verschiedenen Teile des Nervensystems.
http://data.europa.eu/esco/skill/344cbfb6-46cf-4a7d-8927-7e4fbd5ce547,Neuroanatomie der Tiere,"Untersuchung des zentralen und des peripheren Nervensystems von Tieren, einschließlich seiner Komponenten wie Faserstränge sowie Sehbahnen, Hörbahnen, sensorische und motorische Bahnen."
http://data.europa.eu/esco/skill/344d8c63-0bc2-4a70-9fea-cfe3ca5a6ca0,Verarbeitungsparameter kontrollieren,"Kontrollieren der Verarbeitungsparameter, um die technologischen Verfahren zu steuern."
http://data.europa.eu/esco/skill/34521cea-fe17-4c29-9617-a87ad19969c6,hinsichtlich professioneller Tanzpraktiken auf dem Laufenden bleiben,Schritthalten mit praktischen Fortschritten und Anwendung auf Ihre berufliche Tanzpraxis.
http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,Buchungen bearbeiten,Ausführung einer Buchung eines Ortes im Voraus entsprechend der Anforderung des Kunden und Bereitstellen aller entsprechenden Unterlagen.
http://data.europa.eu/esco/skill/345e7733-ba2a-4c8e-915b-d1981d5db0cf,Musikinstrumente warten,Prüfen und Warten von Musikinstrumenten.
http://data.europa.eu/esco/skill/345fe011-42cd-4f7c-94d9-4100a97fe6ba,Geräte in Requisiten verbauen,Verbauen mechanischer oder elektrischer Geräte in Requisiten.
http://data.europa.eu/esco/skill/34670989-418c-43d4-861b-3e884adc2479,Body-Wrapping durchführen,"Einwickeln von Kunden in Plastik, Schlamm oder Wärmedecken zum Stressabbau, zur Wiederherstellung des Gleichgewichts, Straffung der Haut, Entgiftung und Verringerung von Cellulite."
http://data.europa.eu/esco/skill/347162b5-d136-4791-b2a5-392f37a5d1c0,Funkenerosionsmaschine pflegen,Überwachung und Betrieb einer Funkenerosionsmaschine gemäß den Vorschriften.
http://data.europa.eu/esco/skill/34783459-e867-4f50-90dd-fb020b543f43,Flughafennutzer/innen unterstützen,"Deckung des Bedarfs verschiedener Arten von Flughafenkunden/Flughafenkundinnen.
   "
http://data.europa.eu/esco/skill/347b6a67-59ad-4408-bb9c-cfa502867e24,Waldgesundheit überwachen,"Überwachung der Gesundheit der Wälder, um sicherzustellen, dass von den Forstarbeitern alle erforderlichen Maßnahmen getroffen werden."
http://data.europa.eu/esco/skill/347d33a8-3698-4549-a7de-722a0216ee40,gesprochenes Niederländisch verstehen,Verstehen der niederländischen Sprache in gesprochener Form.
http://data.europa.eu/esco/skill/34879781-a164-4ebe-86f0-cdbe2f91d0f3,Übereinkommen der Internationalen Seeschifffahrtsorganisation (IMO),"Grundprinzipien und Anforderungen der verschiedenen Übereinkommen der Internationalen Seeschifffahrtsorganisation (IMO).
    "
http://data.europa.eu/esco/skill/348b74cd-49ce-4844-8bdf-ec188b497213,visuelle Darstellungstechniken,"Techniken der visuellen Darstellung und Interaktion, wie z. B. Histogramme, Streudiagramme, Oberflächendiagramme, Kacheldiagramme und parallele Koordinaten, die zur Darstellung abstrakter numerischer und nicht numerischer Daten verwendet werden können, um das menschliche Verständnis dieser Informationen zu verbessern."
http://data.europa.eu/esco/skill/348cd611-cdb6-4709-b1d6-8cd7faff8fae,Zahnbehandlungen an Pferden durchführen,"Durchführung von Zahnbehandlungen an Pferden, die für das Pferd angemessen sind und dem vereinbarten Behandlungsplan entsprechen. Die spezifischen Interventionen können je nach nationalem und EU-Recht unterschiedlich sein."
http://data.europa.eu/esco/skill/348e4a08-d01b-4cd5-8370-d114a9e31df1,Kettenzüge aufhängen,Anbringen von Kettenzügen beim Bau von Gebäuden.
http://data.europa.eu/esco/skill/349167f7-faa9-423a-b054-9e4fa0978fd7,Beleuchtungsplan erstellen,Erstellung technischer Zeichnungen und Dokumentation innerhalb der Beleuchtungsabteilung.
http://data.europa.eu/esco/skill/34921476-4b44-4912-bc6b-bc7c47cf69d9,Gebäude und Anlagen sanieren,"Renovierung und Modernisierung von Gebäuden und Geräten; dies kann technische oder dekorative Verbesserungen umfassen, z. B. den Austausch von Beleuchtung, das Verlegen neuer Bodenbeläge und das Aufbringen neuer Farben."
http://data.europa.eu/esco/skill/34928d4f-16e2-46a7-937a-c46838f550eb,Pay-per-Click,"Internet-Werbemodell, bei dem eine Werbeanzeige auf einer Website platziert ist, die den Verkehr auf eine andere Website lenkt. Der Herausgeber erhält eine Zahlung bei jedem Mausklick auf das Werbebanner."
http://data.europa.eu/esco/skill/3497ebe1-d417-4105-a68f-f7bbcac7ee5f,IKT-Hardwarespezifikationen,"Merkmale, Verwendung und Betrieb verschiedener Hardwareprodukte wie Drucker, Bildschirme und Laptops."
http://data.europa.eu/esco/skill/34982b79-842f-4835-8598-d27793731d26,Anfragen von Bibliotheksbenutzern bearbeiten,"Durchsuchen von Bibliotheksdatenbanken und Standard-Referenzmaterialien, einschließlich Online-Quellen, um die Benutzer bei Fragen zu unterstützen."
http://data.europa.eu/esco/skill/349ba297-53b3-4bb6-9952-5c5e65f7e047,Evaluierungsmethoden für die Tätigkeit von ärztlichem Hilfspersonal,"Methoden, die eine Kombination von Theorie und empirischen Nachweis ermöglichen, um eine wirksame Tätigkeit des ärztlichen Hilfspersonals zu entwickeln und durchzuführen."
http://data.europa.eu/esco/skill/349ed255-b554-453f-99a4-03d56af1d631,Deinking-Tank beschicken,"Überwachung des Flusses von Altpapier und Einrichten der Steuerung des Tanks, in dem das Papier mit Wasser vermischt und auf eine hohe Temperatur erhitzt wird. Abschöpfen der Tinte, die sich an der Oberfläche sammelt."
http://data.europa.eu/esco/skill/349f6b99-9b8c-4463-9665-9842d95af241,Entladen der Fracht beaufsichtigen,"Überwachung der Entladungsverfahren für Ausrüstungen, Fracht, Waren und andere Gegenstände. Sicherstellen, dass alles ordnungsgemäß entsprechend den Vorschriften und Normen behandelt und gelagert wird."
http://data.europa.eu/esco/skill/34a80161-73fd-4a45-b135-ead89d4f37ee,über mögliche Gefahren durch die Ausrüstung berichten,"Kommunikation von Gefahren und Fehlfunktionen bei Geräten, damit Zwischenfälle schnell behoben werden können.
	"
http://data.europa.eu/esco/skill/34b61e03-4f55-4308-ac11-fda7566badf4,in Betrugsfällen ermitteln,"Untersuchung der rechtswidrige Veränderung, Kopie oder Nachahmung von Gegenständen oder Waren (z. B. Bargeld, öffentliche Urkunden oder Kunstwerke) für kriminelle Zwecke."
http://data.europa.eu/esco/skill/34bc01ed-dd78-49c7-bcfb-c17bb66688b5,Leistungselektronik testen,"Testen von Leistungselektronik mithilfe geeigneter Geräte. Sammeln und Analysieren von Daten über Systeme und Komponenten, z. B. analoge und digitale Schaltkreistoleranz, Leistungsverluste und Gesamtwirkungsgrad, wenn Strom durch Schaltkreise fließt. Die Systemleistung überwachen und bewerten und erforderlichenfalls Maßnahmen ergreifen.
	"
http://data.europa.eu/esco/skill/34bd22df-015b-4a85-9cfe-4074956a882a,Drechseln,"Verfahren der Formung von Holz auf einer Drehbank und deren Arten, z. B. Spindeldrehbank und Scheibendrehbank."
http://data.europa.eu/esco/skill/34be82f1-8442-46e4-a911-40b91fa8bf24,Brütereien und Setzlingskulturen instand halten,Nach Bedarf Vornehmen kleinerer Reparaturen an Brütereien und Setzlingskulturen.
http://data.europa.eu/esco/skill/34d247a0-23da-42d4-872e-df4698c1d5c1,Apothekenrecht,Die rechtlichen und sonstigen Bestimmungen im Zusammenhang mit der Ausübung pharmazeutischer Tätigkeiten.
http://data.europa.eu/esco/skill/34d2a9d8-6cc3-4e67-a7b3-f921722605a3,Qualität von Sportwettkämpfen bewerten,Bewertung der Qualität von Sportwettkämpfen und konsistentes Kommunizieren von Beurteilungen.
http://data.europa.eu/esco/skill/34d6ed30-5d35-44b9-9498-fd15badb5f28,Beratung zu Marktstrategien leisten,"Analyse von Informationen und Empfehlungen für mögliche Verbesserungen, Marktstrategien und Kundenpräferenzen zur Anpassung des Marktkonzepts des Unternehmens.
	"
http://data.europa.eu/esco/skill/34d734d5-2179-49e7-b641-96121f49231c,Wachs befördern,Befördern von Wachs von der Presse in Tanks durch Drehen an den Ventilen.
http://data.europa.eu/esco/skill/34d88149-a42c-4f01-a9f7-4ec0a6e5a77f,Hufschmied,"Hersteller, Zulieferer und Besonderheiten in der Hufschmiedbranche sowie ihre Geschichte mit Produktidentifizierung."
http://data.europa.eu/esco/skill/34dc9e73-c35e-46a4-a35d-4417b721437c,Rohstoffe vorbereiten,Vorbereiten und Abmessen der für die Herstellung von Waren und Fertigerzeugnissen benötigten Rohstoffe.
http://data.europa.eu/esco/skill/34dcd78b-1a9b-4626-9d65-628cf18f17fe,Holz-Verstärkungsstreifen an Schiffsbauteile anbringen,Verwendung von harzgetränktem Fiberglas zum Anbringen von Holz-Verstärkungsstreifen an Schiffsdecks und Kabinenstrukturen.
http://data.europa.eu/esco/skill/34dde545-1f08-4522-9a17-52e5f8da4594,NOTAM in Bezug auf Flugterminaldienste erstellen,"Erstellen von Nachrichten für Luftfahrer (NOTAM) in Bezug auf Flugterminaldienste (ATS) im Hinblick auf die Wartungsarbeiten am Flughafen. Bericht über den Zustand der Start- und Landebahnen, Schneebeseitigungsmaßnahmen, die Notwendigkeit, Start- und Landebahnen zu schließen, und erhebliche Unterbrechungen aufgrund von Wartungsarbeiten."
http://data.europa.eu/esco/skill/34e0f023-0ca9-4f64-a932-3248bb4ed5df,Empfänger von Bankdarlehen befragen,"Führen von Gesprächen mit Bewerbern, die ein Bankdarlehen für unterschiedliche Zwecke beantragen. Stellen von Fragen zur Prüfung des Geschäftswerts und der finanziellen Mittel der Bewerber für die Rückzahlung des Darlehens."
http://data.europa.eu/esco/skill/34eb01f1-2612-4266-a2c4-921e83557008,Schokoladenskulpturen erschaffen,"Verwendung von Formen und Schokoladenstücken, um ein dreidimensionales Kunstwerk zu erschaffen, und Dekorieren der Skulptur mit Mustern in der Schokolade."
http://data.europa.eu/esco/skill/34ed5ebe-92a0-46f0-910e-2d13e38995e5,Kostüme fertigstellen,"Fertigstellen von Kostümen, indem Reißverschlüsse, Gummibänder, Knopflöcher, Ziernähte, Schmuckstücke, Rosetten und andere Dekorationen hinzugefügt werden."
http://data.europa.eu/esco/skill/34f1ea25-563b-43fe-865e-ceaa8a91dd54,Tiere im Einklang mit kulturellen Traditionen schlachten,Schlachten von Tieren unter Einhaltung religiöser und kultureller Gepflogenheiten.
http://data.europa.eu/esco/skill/34f2f1d5-fbd3-4800-8749-4ad237c2f838,über Gerichtsurteil informieren,"Informieren der beteiligten Parteien über das offizielle Urteil in einer Rechtssache oder einem Gerichtsverfahren, wobei die gesetzlichen Bestimmungen und Unterlagen verwendet werden, um sicherzustellen, dass alle Parteien über das Urteil in Kenntnis gesetzt werden."
http://data.europa.eu/esco/skill/34f41c95-69bb-42f5-b92e-1c7b8589b3f5,Programme zum Management von Gefährdungen durch Wildtiere einhalten,"Sicherstellen, dass Programme zum Management von Gefährdungen durch Tiere angemessenen durchgeführt werden. Berücksichtigung der Auswirkungen von Wildtieren auf die Durchführung von Verkehrs- oder Industrievorgängen."
http://data.europa.eu/esco/skill/34ff3561-8eac-43c0-82cc-ed9089ee54e7,Qualität des Wassers in Schwimmbecken aufrechterhalten,"Ständige Überwachung der Farbe, Temperatur und Sauberkeit des Wassers im Schwimmbecken und Ergreifen aller erforderlichen Maßnahmen, um hohe Standards der Wasserqualität des Schwimmbeckens zu gewährleisten."
http://data.europa.eu/esco/skill/34ff4148-8d8a-4186-94ff-c67524c16c0c,auf sich ändernde Situationen in der Fischerei reagieren,Entschlossenes und rechtzeitiges Handeln bei unerwarteten und sich rasch verändernden Situationen in der Fischerei.
http://data.europa.eu/esco/skill/3501ac95-4574-4420-92b7-67331e649462,drahtlose Mehrfrequenzsignalverteilung verwalten,"Verwalten der Einrichtung von drahtloser Ausrüstung für die Verteilung von drahtlosen Steuersignalen für Kunst- und Veranstaltungsanwendungen. Entwicklung von Frequenzplänen, Konfiguration, Prüfung und Überwachung von Ausrüstung und Messung des Frequenzspektrums. Sicherstellen, dass es keine Interferenzen zwischen den verschiedenen Frequenzen und Kanälen gibt, und dass die Sicherheit dieser Geräte dem Industriestandard entspricht.
   "
http://data.europa.eu/esco/skill/3506c2ba-23ac-4a46-8e42-4ba113ab5907,Steinspaltmethoden anwenden,"Bohren von Löchern in einen großen Stein und Einsetzen von Keilen und Federn. Mehrmaliges Einschlagen der Keile, bis ein Riss entsteht.
	"
http://data.europa.eu/esco/skill/3506d31c-3bb0-4a6d-90bb-aff03bca01b5,Dates arrangieren,"Arrangieren von Dates für Kunden mit Personen, die sie selbst ausgesucht haben, die durch Übereinstimmungstests ausgewählt wurden oder die von Ihnen selbst vorgeschlagen wurden."
http://data.europa.eu/esco/skill/350c932d-f9b3-4adb-a5cc-cd5cff4a1912,touristische Informationen anbieten,Vermitteln relevanter Informationen über historische und kulturelle Stätten und Veranstaltungen an Kunden auf unterhaltsame und informative Weise.
http://data.europa.eu/esco/skill/350d5fc0-67d4-4b75-8d28-85b325cf23fd,synthetische Fasern herstellen,"Betrieb, Überwachung und Wartung von Maschinen und Verfahren zur Herstellung synthetischer Fasern; Sicherstellen, dass das Produkt den vorgeschriebenen Spezifikationen entspricht, wobei Effizienz und Produktivität auf hohem Niveau gehalten werden."
http://data.europa.eu/esco/skill/350e0620-569f-48d7-a6fd-56622936923c,Restaurierungsverfahren evaluieren,"Evaluieren der Ergebnisse von Erhaltungs- und Restaurierungsverfahren. Evaluieren des Risikograds, des Erfolgs der Behandlung oder Tätigkeit und Mitteilen der Ergebnisse."
http://data.europa.eu/esco/skill/351122a2-44f7-41db-ba8b-425136d5fb87,Rasen instand halten,"Aufbringen und Instandhalten von Feintorf, Rasenflächen und synthetischen Oberflächen für Sportveranstaltungen. Sicherstellen eines ansprechenden Aussehens des Grundstücks."
http://data.europa.eu/esco/skill/35131388-a292-45f7-9915-4ec898c6fb60,Tarotkarten auslegen,Beraten einer Person oder Treffen von Zukunftsprognosen in Bezug auf ihre persönliche oder berufliche Laufbahn auf der Grundlage der gezogenen Karten.
http://data.europa.eu/esco/skill/35138055-63cd-410a-91a7-29e9857bebbd,Schmuck anpassen,"Umformen, Verkleinern und Polieren von Schmuckfassungen. Anfertigung von Schmuck nach Kundenwünschen.
   "
http://data.europa.eu/esco/skill/351cd749-498c-4ed3-9e38-58fc9bbf8f0e,Einhaltung von Lärmschutzstandards sicherstellen,"Sicherstellen, dass Gebäude, Straßen, Luftverkehr und Veranstaltungen die lokalen, nationalen oder internationalen Lärmschutznormen und -verordnungen einhalten, um die Belästigung der Anwohner so gering wie möglich zu halten."
http://data.europa.eu/esco/skill/351ce1e5-1e19-4b12-8928-a1ae8203ed0b,Verkaufsbereich aus Sicherheitsgründen überwachen,"Beobachten des Verhaltens von Kunden in Verkaufsräumen, um Ordnung und Sicherheit aufrechtzuerhalten und potenzielle Risiken zu erkennen."
http://data.europa.eu/esco/skill/351e3f8f-4631-412d-963f-25b5fd4efe48,Aufzeichnungen über Grubenaktivitäten führen,"Führen von Aufzeichnungen über die Produktion und Entwicklung in Gruben, einschließlich der Leistung von Maschinen."
http://data.europa.eu/esco/skill/3524e684-62fc-4634-9f7e-924e211efe75,Spiritualismus,"Der Glaube oder die Doktrin, dass die Welt aus zwei grundlegenden Stoffen – Materie und Geist – besteht und dass es möglich ist, mit dem Geist eines Toten zu kommunizieren."
http://data.europa.eu/esco/skill/35286868-b555-4961-b2e8-dc96a0f13168,Geflügel in einem landwirtschaftlichen Betrieb einfangen,"Handhabung und manuelles Einfangen von Masthühnern, wie Hühnern, Puten, Enten, Gänsen, Perlhühnern und Wachteln. Gewährleistung der Sicherheit der Tiere beim Verladen für den Transport.
   "
http://data.europa.eu/esco/skill/3529d640-5d49-45fe-8ede-491e9c8e0447,Laborgeräte pflegen,"Reinigung von Glaswaren für Laborzwecke und anderen Geräten nach der Verwendung sowie Prüfen auf Schäden oder Korrosion, um das einwandfreie Funktionieren zu gewährleisten."
http://data.europa.eu/esco/skill/352ba155-5f5f-4f33-a407-1db291dc6be0,Maschinen zur Kunststoffherstellung warten,"Warten von Maschinen und Geräten zur Herstellung von Kunststoffwaren, um sicherzustellen, dass sie sauber, sicher und funktionsfähig sind. Routinemäßige Wartung der Ausrüstung und bei Bedarf Anpassung mithilfe von Hand- und Elektrowerkzeugen."
http://data.europa.eu/esco/skill/352e1524-c6e0-4a05-81ed-c74ccb71574c,Musikevents unter Einbeziehung von Patienten/Patientinnen veranstalten,"Entwickeln und Durchführen von Musikevents unter Einbeziehung von Patienten, um ihren Bedürfnissen gerecht zu werden."
http://data.europa.eu/esco/skill/35383697-4d9d-4aee-a178-773986e598bc,Auswahl an Tierfutter empfehlen,Empfehlen und Beraten der Kunden zu verschiedenen Arten von Tierfutter im Geschäft.
http://data.europa.eu/esco/skill/35421ebd-dc4c-4827-adbb-faf4a98c1968,"Verfahren anwenden, damit die Fracht den Zollbestimmungen entspricht","Anwenden der verschiedenen Verfahren, die für die Erfüllung der Zollverpflichtungen erforderlich sind, wenn Waren über Grenzen hinweg befördert und über Häfen/Flughäfen oder andere Logistikzentren eingeführt werden, z. B. Erstellen schriftlicher Zollanmeldungen. Anwenden verschiedener Verfahren für verschiedene Arten von Waren und Sicherstellen der Einhaltung der Versandvorschriften."
http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,Ukrainisch,Die ukrainische Sprache.
http://data.europa.eu/esco/skill/3551b8e4-5b45-4983-bfb3-e5bfc029352b,unerwünschte Änderungen des Sounddesigns verhindern,"Anpassung der Wartung der Soundanlage, um unerwünschte Änderungen des Soundgleichgewichts und des Sounddesigns zu verhindern und die allgemeine Produktionsqualität zu wahren."
http://data.europa.eu/esco/skill/35565734-b968-49f7-8140-f5bc95ec3df7,Fitnessziele handhaben,Erstellen persönlicher Trainingspläne; Festlegen von Fitnesszielen für Kunden und auf diese hinarbeiten; Verweis von Kunden an geeignetere Fachkräfte.
